timestamp,skinId,source,price,volume
2026-01-28T16:41:51.155822+00:00,AK-47-VariCamo-Grey-Factory-New,steam,1.5,321
2026-01-28T16:41:52.256104+00:00,M4A4-Magnesium-Minimal-Wear,steam,1.43,205
2026-01-28T16:41:53.412333+00:00,UMP-45-Wild-Child-Well-Worn,steam,4.75,121
2026-01-28T16:41:54.430479+00:00,Desert-Eagle-Directive-Minimal-Wear,steam,7.97,30
2026-01-28T16:41:55.477320+00:00,AUG-Stymphalian-Field-Tested,steam,5.63,70
2026-01-28T16:41:57.082985+00:00,Sticker-Strike-A-Pose,steam,0.11,360
2026-01-28T16:41:58.090521+00:00,Music-Kit-Scarlxrd-King-Scar,steam,4.75,62
2026-01-28T16:41:59.187122+00:00,Glock-18-Winterized-Minimal-Wear,steam,0.29,525
2026-01-28T16:42:00.278272+00:00,USP-S-Guardian-Factory-New,steam,13.98,42
2026-01-28T16:42:01.376361+00:00,Galil-AR-Eco-Field-Tested,steam,17.52,47
2026-01-28T16:42:02.360652+00:00,MAC-10-Sakkaku-Well-Worn,steam,0.64,331
2026-01-28T16:42:03.620203+00:00,StatTrak-AK-47-Slate-Well-Worn,steam,17.87,43
2026-01-28T16:42:04.641799+00:00,StatTrak-Glock-18-Block-18-Field-Tested,steam,2.3,210
2026-01-28T16:42:05.754512+00:00,PP-Bizon-Thermal-Currents-Factory-New,steam,0.21,643
2026-01-28T16:42:07.835983+00:00,Glock-18-Off-World-Factory-New,steam,6.53,74
2026-01-28T16:42:08.927574+00:00,M4A1-S-Stratosphere-Battle-Scarred,steam,13.83,55
2026-01-28T16:43:02.157290+00:00,AK47-Redline-FT,steam,48.62,80
2026-01-28T16:43:04.062990+00:00,AWP-Asiimov-BS,steam,112.14,16
2026-01-28T16:43:05.132264+00:00,Danger-Zone-Case,steam,2.04,8430
2026-01-28T16:43:06.245439+00:00,Fracture-Case,steam,0.71,44967
2026-01-28T16:43:07.306818+00:00,Dreams-Nightmares-Case,steam,1.58,100957
2026-01-28T16:43:08.388430+00:00,Recoil-Case,steam,0.36,89942
2026-01-28T16:43:09.473311+00:00,Revolution-Case,steam,0.36,90221
2026-01-28T16:43:10.567416+00:00,Kilowatt-Case,steam,0.3,105072
2026-01-28T16:43:11.618650+00:00,Fever-Case,steam,0.98,80989
2026-01-28T16:43:12.741140+00:00,Sealed-Genesis-Terminal,steam,0.34,57308
2026-01-28T16:43:13.746047+00:00,Gamma-2-Case,steam,4.78,2824
2026-01-28T16:43:14.829039+00:00,Glove-Case,steam,20.72,1823
2026-01-28T16:43:15.952422+00:00,MP7-Bloodsport-Battle-Scarred,steam,49.64,36
2026-01-28T16:43:17.390279+00:00,M4A1-S-Black-Lotus-Field-Tested,steam,8.85,721
2026-01-28T16:43:18.543195+00:00,P90-Teardown-Field-Tested,steam,0.27,946
2026-01-28T16:43:19.568107+00:00,AK-47-Legion-of-Anubis-Field-Tested,steam,50.5,179
2026-01-28T16:43:20.693077+00:00,AK-47-Ice-Coaled-Field-Tested,steam,7.54,910
2026-01-28T16:43:22.472934+00:00,MP7-Fade-Factory-New,steam,32.46,263
2026-01-28T16:43:23.627068+00:00,Gamma-Case,steam,4.77,2307
2026-01-28T16:43:24.742937+00:00,Paris-2023-Contenders-Sticker-Capsule,steam,0.12,21435
2026-01-28T16:44:02.213724+00:00,USP-S-Guardian-Factory-New,steam,13.98,42
2026-01-28T16:44:03.875719+00:00,Galil-AR-Eco-Field-Tested,steam,17.89,47
2026-01-28T16:44:04.997294+00:00,MAC-10-Sakkaku-Well-Worn,steam,0.64,331
2026-01-28T16:44:06.033799+00:00,StatTrak-AK-47-Slate-Well-Worn,steam,17.87,43
2026-01-28T16:44:07.080639+00:00,StatTrak-Glock-18-Block-18-Field-Tested,steam,2.3,210
2026-01-28T16:44:08.273826+00:00,PP-Bizon-Thermal-Currents-Factory-New,steam,0.21,643
2026-01-28T16:44:09.424223+00:00,Glock-18-Off-World-Factory-New,steam,6.53,74
2026-01-28T16:44:10.458307+00:00,M4A1-S-Stratosphere-Battle-Scarred,steam,13.83,55
2026-01-28T16:44:11.557155+00:00,Sticker-Boom-Trail,steam,0.12,3173
2026-01-28T16:44:12.708294+00:00,P250-X-Ray-Minimal-Wear,steam,0.76,239
2026-01-28T16:44:13.998968+00:00,Five-SeveN-Fraise-Crane-Battle-Scarred,steam,1.2,63
2026-01-28T16:44:15.070018+00:00,MP9-Cobalt-Paisley-Field-Tested,steam,0.81,324
2026-01-28T16:44:16.125404+00:00,Glock-18-Coral-Bloom-Field-Tested,steam,0.75,339
2026-01-28T16:44:17.219332+00:00,Desert-Eagle-Blue-Ply-Minimal-Wear,steam,0.94,205
2026-01-28T16:44:18.288994+00:00,M4A4-Naval-Shred-Camo-Minimal-Wear,steam,0.25,494
2026-01-28T16:44:19.494935+00:00,P90-Desert-DDPAT-Field-Tested,steam,0.6,32
2026-01-28T16:44:20.499685+00:00,USP-S-Sleeping-Potion-Well-Worn,steam,12.77,13
2026-01-28T16:44:21.627186+00:00,SSG-08-Calligrafaux-Factory-New,steam,4.51,116
2026-01-28T16:44:22.612285+00:00,Sticker-Team-Spirit-Holo-Stockholm-2021,steam,11.17,11
2026-01-28T16:44:23.680207+00:00,USP-S-Ticket-to-Hell-Battle-Scarred,steam,0.89,161
2026-01-28T16:45:08.750879+00:00,AK47-Redline-FT,steam,48.62,80
2026-01-28T16:45:10.822787+00:00,AWP-Asiimov-BS,steam,112.14,16
2026-01-28T16:45:11.900247+00:00,Danger-Zone-Case,steam,2.04,8430
